record_id,created_date,model_name,model_version,prompt_id,prompt_text,prompt_type,response_text,domain,task_type,language,hallucination_label,hallucination_type,hallucination_span,correct_information,correction_text,severity,domain_risk,annotator_type,annotation_confidence,mitigation_strategy,mitigation_applied,verified_source,intrinsic_or_extrinsic,notes
45a59e62-b8bd-4cf3-908f-b8ee7a01e486,2024-11-13,Mistral-Large,mistral-large-2411,PROMPT_00056,What is the recommended first-line treatment for Type 2 diabetes?,Multi-Hop,"The first-line pharmacological treatment for Type 2 diabetes is insulin therapy, which should be initiated at diagnosis.",Medicine,Question-Answering,English,1,Factual-Contradiction,"insulin therapy, which should be initiated at diagnosis",Metformin is the standard first-line drug,"Metformin is the recommended first-line pharmacological treatment for Type 2 diabetes, not insulin.",High,High-Stakes,llm_judge_claude,0.95,RAG,True,Human-Expert,Extrinsic,
c827a569-bc0f-4fa7-939f-532627f751aa,2025-01-09,Llama-3.1-70B,llama-3.1-70b-instruct,PROMPT_00057,When was Apple Inc. founded?,Adversarial,"Apple Inc. was founded on April 1, 1976, by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Finance,Question-Answering,Spanish,0,None,,,,None,Low-Stakes,llm_judge_gpt4o,0.88,CoT-Prompting,True,PubMed,N/A,
26ec32b6-4933-485b-8608-9ff23e448274,2024-11-25,Gemini-1.5-Pro,gemini-1.5-pro-002,PROMPT_00058,Is it legal to record a phone call without consent in California?,Direct-Factual,"In California, you can legally record a phone call as long as one party to the call (including yourself) consents to the recording.",Law,Fact-Verification,Spanish,1,Factual-Contradiction,one party to the call consents,California requires all-party consent under Penal Code 632,California is an all-party consent state; all parties must consent to recording under Penal Code Section 632.,High,High-Stakes,llm_judge_gpt4o,0.86,Structured-Prompt,True,Reuters,Extrinsic,
d969a8ee-42d3-413a-96ee-61c83f3983dd,2024-09-07,Claude-3.5-Sonnet,claude-3-5-sonnet-20241022,PROMPT_00059,What does the acronym 'GPU' stand for?,Direct-Factual,GPU stands for Graphics Processing Unit.,Technology,Question-Answering,English,0,None,,,,None,Low-Stakes,human_crowd,0.95,CoT-Prompting,True,PubMed,N/A,
6fe7d53d-533b-46cb-b181-dbc915758bcf,2024-10-20,Llama-3.1-70B,llama-3.1-70b-instruct,PROMPT_00060,Summarize the mechanism of action of Aspirin.,Adversarial,"Aspirin works by irreversibly inhibiting the enzyme cyclooxygenase (COX), thereby reducing the production of prostaglandins and thromboxanes, which are involved in inflammation and platelet aggregation.",Medicine,Summarization,English,0,None,,,,None,High-Stakes,llm_judge_gpt4o,0.88,Structured-Prompt,True,SEC-Filing,N/A,
298bc3f4-5b08-4340-af09-5fa7f16b2e34,2025-03-19,GPT-4o,gpt-4o-2024-11-20,PROMPT_00061,Tell me about the environmental impact of the construction of the Eiffel Tower.,Adversarial,"The construction of the Eiffel Tower led to the extinction of the Parisian tiger, a species native to the Seine valley that could not adapt to the rapid urbanization.",History,Open-Generation,English,1,Unverifiability,"extinction of the Parisian tiger, a species native to the Seine valley",No such species exists,The 'Parisian tiger' does not exist. No tiger species is native to France.,High,Low-Stakes,human_crowd,0.96,None,False,Wikipedia,Extrinsic,
ad49d397-c229-4614-82c6-f61938a89905,2024-12-26,Mistral-Large,mistral-large-2411,PROMPT_00062,Who is the current CEO of Tesla?,Multi-Hop,The current CEO of Tesla is Elon Musk.,Technology,Question-Answering,Spanish,1,Outdatedness,Elon Musk,Information may be outdated — verify with current sources,As of knowledge cutoff; requires real-time verification.,Low,Low-Stakes,llm_judge_claude,0.79,None,False,Human-Expert,Extrinsic,
614fe563-f562-4cb4-a366-9d27436f0ee4,2024-12-19,Mistral-Large,mistral-large-2411,PROMPT_00063,Is the Great Wall of China visible from space with the naked eye?,Long-Context,"Yes, the Great Wall of China is clearly visible from space with the naked eye and is one of the few man-made structures that can be seen from the Moon.",Science,Fact-Verification,English,1,Factual-Contradiction,clearly visible from space with the naked eye and is one of the few man-made structures that can be seen from the Moon,The Great Wall is not visible from space with the naked eye,Astronauts and NASA confirm the Great Wall is not visible from low Earth orbit with the naked eye due to its narrow width.,Medium,Low-Stakes,llm_judge_gpt4o,0.94,Structured-Prompt,True,Human-Expert,Extrinsic,
a7b8ff06-896e-4ddf-8f71-2574a44af5c9,2025-04-04,Llama-3.1-70B,llama-3.1-70b-instruct,PROMPT_00064,"What is the capital gains tax rate for long-term investments in the US for a single filer earning $50,000?",Ambiguous,"For a single filer earning $50,000, the long-term capital gains tax rate is 15% in the United States.",Finance,Question-Answering,Hindi,0,None,,,,None,High-Stakes,human_crowd,0.85,CoT-Prompting,True,ArXiv,N/A,
04e73057-b259-427c-b484-f08112a44b2c,2024-10-31,Gemini-1.5-Pro,gemini-1.5-pro-002,PROMPT_00065,What are the side effects of Metformin?,Ambiguous,"Common side effects of Metformin include nausea, vomiting, diarrhea, and stomach upset. In rare cases, it can cause lactic acidosis. Importantly, Metformin causes significant weight loss in all patients as a primary effect.",Medicine,Open-Generation,English,1,Overclaim,causes significant weight loss in all patients as a primary effect,Weight change is modest and not universal,Metformin may cause modest weight neutrality or slight loss in some patients; it does not cause significant weight loss in all patients.,Medium,High-Stakes,human_expert,0.84,RAG,True,SEC-Filing,Extrinsic,
ae8c4a6c-534c-4e5b-97e4-67cfd0acc07c,2025-02-28,Claude-3.5-Sonnet,claude-3-5-sonnet-20241022,PROMPT_00066,How many amendments does the US Constitution have?,Multi-Hop,The United States Constitution has 27 amendments.,Politics,Fact-Verification,English,0,None,,,,None,Low-Stakes,human_crowd,0.84,CoT-Prompting,True,LegalBench,N/A,
94240e25-25be-4bee-8428-356aea0f8750,2024-10-23,Mistral-Large,mistral-large-2411,PROMPT_00067,Explain the Miranda rights.,Adversarial,"Miranda rights require police to inform suspects of their right to remain silent, that anything they say can be used against them, their right to an attorney, and if they cannot afford one, one will be appointed. These rights apply only after a formal arrest has been made and charges filed in court.",Law,Summarization,English,1,Factual-Contradiction,These rights apply only after a formal arrest has been made and charges filed in court,"Miranda rights apply at custodial interrogation, before charges are filed","Miranda rights apply whenever a suspect is in custody and subject to interrogation, regardless of whether formal charges have been filed.",High,High-Stakes,human_expert,0.85,None,False,Snopes,Extrinsic,
169c10ff-5e8c-4a80-b7e3-0bf1ca5ec313,2024-11-16,Llama-3.1-70B,llama-3.1-70b-instruct,PROMPT_00068,What is the speed of light in a vacuum?,Adversarial,"The speed of light in a vacuum is approximately 299,792 kilometers per second.",Science,Question-Answering,Spanish,0,None,,,,None,Low-Stakes,human_crowd,0.8,RAG,True,ArXiv,N/A,
ef142ecf-eca7-4ca1-aab6-bb1cc7cf176a,2025-01-03,Llama-3.1-70B,llama-3.1-70b-instruct,PROMPT_00069,Describe the main capabilities of GPT-5.,Direct-Factual,GPT-5 features a 10-trillion parameter architecture with native video generation capabilities and has been officially certified as AGI-level by OpenAI's safety board in January 2025.,Technology,Open-Generation,English,1,Unverifiability,officially certified as AGI-level by OpenAI's safety board in January 2025,No such certification has been publicly confirmed,OpenAI has not officially certified GPT-5 as AGI-level; this claim is fabricated.,High,Medium-Stakes,human_crowd,0.78,Self-Consistency,True,SEC-Filing,Extrinsic,
e2a7d0ee-ec15-4cf9-8ae7-e518968feecf,2025-01-15,Llama-3.1-70B,llama-3.1-70b-instruct,PROMPT_00070,In what year did World War II end?,Direct-Factual,"World War II ended in 1945, with Germany surrendering in May (V-E Day) and Japan surrendering in September (V-J Day).",History,Question-Answering,German,0,None,,,,None,Low-Stakes,human_expert,0.97,Structured-Prompt,True,PubMed,N/A,
a0f48739-a5dd-423d-ab4d-0d9e5a609e9e,2024-10-17,Llama-3.1-70B,llama-3.1-70b-instruct,PROMPT_00071,Explain what a subprime mortgage is.,Direct-Factual,A subprime mortgage is a type of loan offered to borrowers with poor credit histories. These loans typically carry higher interest rates than prime mortgages to compensate for the increased credit risk. The widespread issuance of subprime mortgages was a major contributing factor to the 2008 financial crisis. Subprime borrowers always default on their loans eventually.,Finance,Open-Generation,English,1,Overclaim,Subprime borrowers always default on their loans eventually,"Subprime borrowers have higher, not certain, default rates",Subprime borrowers have elevated default rates but do not always default. Many repay their loans successfully.,Medium,High-Stakes,llm_judge_claude,0.76,Self-Consistency,True,ArXiv,Extrinsic,
8495966e-84ea-43d6-b954-444a54dd4717,2024-11-11,Llama-3.1-70B,llama-3.1-70b-instruct,PROMPT_00072,My doctor said I might have hypertension. What blood pressure reading is considered hypertension?,Adversarial,"Hypertension is generally defined as a blood pressure reading consistently at or above 130/80 mmHg, according to the 2017 ACC/AHA guidelines.",Medicine,Dialogue,English,0,None,,,,None,High-Stakes,human_expert,0.86,Self-Consistency,True,Human-Expert,N/A,
9bf9695f-862c-475e-b98f-fab2acf5cace,2024-11-29,GPT-4o,gpt-4o-2024-11-20,PROMPT_00073,Summarize the theory of relativity.,Multi-Hop,"Einstein's theory of relativity consists of two parts: special relativity (1905) and general relativity (1915). Special relativity introduces the idea that the laws of physics are the same for all non-accelerating observers and that the speed of light is constant. It famously showed that energy and mass are interchangeable via E=mc². General relativity extends this to include gravity, describing it as a curvature of spacetime caused by mass.",Science,Summarization,Arabic,0,None,,,,None,Low-Stakes,human_expert,0.94,None,False,Wikipedia,N/A,
3f4d9203-695d-443a-a670-4e4b163e3f84,2025-02-07,Claude-3.5-Sonnet,claude-3-5-sonnet-20241022,PROMPT_00074,What is the statute of limitations for filing a personal injury lawsuit in New York?,Multi-Hop,"In New York, the statute of limitations for most personal injury lawsuits is three years from the date of the injury.",Law,Question-Answering,English,0,None,,,,None,High-Stakes,human_crowd,0.84,None,False,PubMed,N/A,
818f114d-88f7-438e-a8f1-2ddd918adb6c,2025-02-27,Mistral-Large,mistral-large-2411,PROMPT_00075,Is Python an interpreted language?,Ambiguous,"Yes, Python is generally considered an interpreted language, though technically it compiles to bytecode which is then interpreted by the Python virtual machine.",Technology,Fact-Verification,Hindi,0,None,,,,None,Low-Stakes,llm_judge_gpt4o,0.98,Self-Consistency,True,PubMed,N/A,
fdd1311e-56a1-4e69-a5c0-56a31f84e4a9,2025-01-27,Claude-3.5-Sonnet,claude-3-5-sonnet-20241022,PROMPT_00076,Describe the significance of the Magna Carta.,Direct-Factual,"The Magna Carta, signed in 1215 by King John of England, is considered a foundational document of constitutional governance. It established the principle that the king was subject to the rule of law, guaranteed certain legal rights to free men, and laid groundwork for parliamentary democracy and habeas corpus. The document directly inspired the US Constitution's Bill of Rights in 1791.",History,Open-Generation,Mandarin,1,Relation-Error,directly inspired the US Constitution's Bill of Rights in 1791,The influence was indirect; the Bill of Rights drew more directly from English common law and Enlightenment thought,"While the Magna Carta influenced broader legal traditions, it did not directly inspire the US Bill of Rights, which drew primarily from English common law, state constitutions, and Enlightenment philosophy.",Low,Low-Stakes,human_crowd,0.98,None,False,Snopes,Intrinsic,
406ce719-a071-4244-8c57-376c0b21707a,2024-09-27,Claude-3.5-Sonnet,claude-3-5-sonnet-20241022,PROMPT_00077,Does the US Federal Reserve set the federal funds rate?,Ambiguous,"Yes, the Federal Open Market Committee (FOMC), which is part of the Federal Reserve, sets the target range for the federal funds rate.",Finance,Fact-Verification,Spanish,0,None,,,,None,Medium-Stakes,human_expert,0.81,CoT-Prompting,True,Wikipedia,N/A,
156bace6-cfd2-4359-92ac-c56514bc7e24,2024-09-18,Gemini-1.5-Pro,gemini-1.5-pro-002,PROMPT_00078,What is the half-life of ibuprofen?,Long-Context,The half-life of ibuprofen is approximately 2 hours in adults.,Medicine,Question-Answering,Arabic,0,None,,,,None,High-Stakes,human_expert,0.9,RAG,True,Snopes,N/A,
b9e02ca9-8cf7-4fb7-b3cf-73242f4f99f8,2025-02-10,Llama-3.1-70B,llama-3.1-70b-instruct,PROMPT_00079,What is the tallest mountain in the world?,Adversarial,"Mount Everest is the tallest mountain in the world, with a peak elevation of 8,848.86 meters (29,031.7 feet) above sea level.",General,Dialogue,French,0,None,,,,None,Low-Stakes,human_crowd,0.82,RAG,True,SEC-Filing,N/A,
e1311f37-bf9a-4b69-9602-1dfe4905ce35,2025-02-05,Mistral-Large,mistral-large-2411,PROMPT_00080,What causes the northern lights?,Long-Context,"The northern lights, or Aurora Borealis, are caused by charged particles from the sun interacting with Earth's magnetic field. These particles travel along magnetic field lines toward the poles, where they collide with gas molecules in the atmosphere, exciting them to emit light in various colors.",Science,Open-Generation,Hindi,0,None,,,,None,Low-Stakes,human_crowd,0.98,RAG,True,Snopes,N/A,
4b895486-f36b-48d1-9c6d-7ac2183b4192,2025-04-01,Mistral-Large,mistral-large-2411,PROMPT_00081,Summarize how transformer neural networks work.,Direct-Factual,"Transformers use a self-attention mechanism to process input sequences in parallel, rather than sequentially like RNNs. Each token attends to every other token via attention weights, allowing the model to capture long-range dependencies. The architecture consists of encoder and decoder stacks with multi-head attention, feed-forward layers, and residual connections. Transformers require O(1) sequential operations, making them impossible to parallelise.",Technology,Summarization,English,1,Factual-Contradiction,"require O(1) sequential operations, making them impossible to parallelise",Transformers are highly parallelisable; O(1) sequential operations is an advantage,"Transformers require O(1) sequential operations, which is precisely what makes them highly parallelisable — the opposite of what was stated.",Medium,Low-Stakes,human_crowd,0.79,CoT-Prompting,True,ArXiv,Extrinsic,
67d961bf-20df-46c7-875c-92fc44f6eace,2024-11-26,Llama-3.1-70B,llama-3.1-70b-instruct,PROMPT_00082,How many senators are in the US Senate?,Direct-Factual,"The United States Senate has 100 senators, two from each of the 50 states.",Politics,Question-Answering,English,0,None,,,,None,Low-Stakes,llm_judge_claude,0.91,Self-Consistency,True,SEC-Filing,N/A,
4cb7b228-7d62-4021-8436-624aec65d662,2024-11-27,Llama-3.1-70B,llama-3.1-70b-instruct,PROMPT_00083,Describe the symptoms of appendicitis.,Ambiguous,"Appendicitis typically presents with pain that begins around the navel and migrates to the lower right abdomen, nausea, vomiting, loss of appetite, and low-grade fever. All patients with appendicitis require emergency surgery within 6 hours or the appendix will rupture.",Medicine,Open-Generation,German,1,Overclaim,All patients with appendicitis require emergency surgery within 6 hours or the appendix will rupture,Rupture risk varies; uncomplicated appendicitis can be managed with antibiotics in some cases,Not all cases require surgery within 6 hours; uncomplicated appendicitis can sometimes be managed non-surgically with antibiotics.,High,High-Stakes,llm_judge_claude,0.78,RAG,True,Wikipedia,Extrinsic,
e8edf985-ba4b-4449-a214-1e7174a27b08,2024-11-01,Mistral-Large,mistral-large-2411,PROMPT_00084,What is compound interest?,Adversarial,Compound interest is interest calculated on both the initial principal and the accumulated interest from previous periods. It allows investments to grow exponentially over time.,Finance,Question-Answering,English,0,None,,,,None,Low-Stakes,llm_judge_gpt4o,0.98,None,False,Human-Expert,N/A,
dd499c00-fee7-43d4-a105-099192d5138c,2024-09-24,Llama-3.1-70B,llama-3.1-70b-instruct,PROMPT_00085,Explain the concept of habeas corpus.,Ambiguous,"Habeas corpus is a legal principle that protects individuals from unlawful detention. It requires authorities to bring a detained person before a court to examine whether the detention is lawful. The term is Latin for 'you shall have the body.' In the US, habeas corpus can be suspended only by Congress during rebellion or invasion.",Law,Open-Generation,English,0,None,,,,None,High-Stakes,llm_judge_gpt4o,0.89,None,False,Reuters,N/A,
8dc206bf-7a73-408f-890c-909d552c8e69,2025-01-14,Mistral-Large,mistral-large-2411,PROMPT_00086,What programming language is the Linux kernel written in?,Ambiguous,"The Linux kernel is primarily written in C, with some assembly language for hardware-specific components. As of 2022, Rust was also officially added as a supported language for kernel modules.",Technology,Question-Answering,English,0,None,,,,None,Low-Stakes,llm_judge_claude,0.87,Structured-Prompt,True,LegalBench,N/A,
726939b2-ac8a-4d89-8bef-0c01469b6ee0,2024-10-30,Llama-3.1-70B,llama-3.1-70b-instruct,PROMPT_00087,"Who was the US President when the Berlin Wall fell, and what party did they belong to?",Direct-Factual,George H.W. Bush was the US President when the Berlin Wall fell in November 1989. He was a member of the Republican Party.,General,Multi-Hop,French,0,None,,,,None,Low-Stakes,llm_judge_claude,0.85,RAG,True,PubMed,N/A,
cc7a36e6-12e5-4fe9-90de-a24af3d953e4,2024-10-20,Mistral-Large,mistral-large-2411,PROMPT_00088,Is the human body made mostly of water?,Multi-Hop,"Yes, the adult human body is approximately 60% water by weight, though this varies with age, sex, and body composition.",Science,Fact-Verification,French,0,None,,,,None,Low-Stakes,llm_judge_claude,0.98,CoT-Prompting,True,Reuters,N/A,
9a433c2a-0a16-43f5-98e1-72cac2bf8aa0,2024-10-29,GPT-4o,gpt-4o-2024-11-20,PROMPT_00089,What is the BRCA1 gene associated with?,Ambiguous,The BRCA1 gene is associated with hereditary breast and ovarian cancer. Mutations in this gene significantly increase the lifetime risk of developing these cancers.,Medicine,Question-Answering,English,0,None,,,,None,High-Stakes,human_expert,0.96,RAG,True,SEC-Filing,N/A,
b0478fb8-563e-4bee-8e4d-71eab2e4a0d6,2025-01-20,Gemini-1.5-Pro,gemini-1.5-pro-002,PROMPT_00090,When did the Soviet Union collapse?,Ambiguous,"The Soviet Union officially dissolved on December 25, 1991, when Mikhail Gorbachev resigned as president.",History,Dialogue,French,1,Incompleteness,"officially dissolved on December 25, 1991","Formal dissolution was December 26, 1991 when the Supreme Soviet voted; Gorbachev resigned Dec 25","Gorbachev resigned on December 25, 1991, but the formal dissolution was declared by the Supreme Soviet on December 26, 1991.",Low,Low-Stakes,llm_judge_gpt4o,0.73,None,False,Human-Expert,Intrinsic,
2411391b-862e-41de-b90e-ee04219160dd,2024-11-12,GPT-4o,gpt-4o-2024-11-20,PROMPT_00091,Summarize what a hedge fund does.,Adversarial,"A hedge fund is a pooled investment vehicle that uses advanced strategies—including leverage, short-selling, and derivatives—to generate returns for accredited investors. Unlike mutual funds, hedge funds face fewer regulatory restrictions and typically charge both management and performance fees. All hedge funds are required to be registered with the SEC.",Finance,Summarization,English,1,Factual-Contradiction,All hedge funds are required to be registered with the SEC,Many hedge funds are exempt from SEC registration under certain thresholds,Not all hedge funds are required to register with the SEC; smaller funds and those with fewer than 15 investors may qualify for exemptions.,Medium,High-Stakes,llm_judge_claude,0.96,Structured-Prompt,True,SEC-Filing,Extrinsic,
225d7827-6488-45c9-b267-6c9c4fac0c11,2024-09-30,GPT-4o,gpt-4o-2024-11-20,PROMPT_00092,Can you explain what an API is?,Direct-Factual,An API (Application Programming Interface) is a set of rules and protocols that allows different software applications to communicate with each other. It defines methods and data formats for requesting and exchanging information between systems.,Technology,Dialogue,English,0,None,,,,None,Low-Stakes,human_expert,0.85,Self-Consistency,True,Wikipedia,N/A,
82cb1962-47b1-4527-abd2-850d51fc1404,2024-11-17,Claude-3.5-Sonnet,claude-3-5-sonnet-20241022,PROMPT_00093,Does the MMR vaccine cause autism?,Direct-Factual,"No. The claim that the MMR vaccine causes autism has been thoroughly debunked. The original 1998 Wakefield study that suggested a link was retracted due to ethical violations and data manipulation, and extensive research involving millions of children has found no link.",Medicine,Fact-Verification,Mandarin,0,None,,,,None,High-Stakes,human_expert,0.83,Structured-Prompt,True,Snopes,N/A,
c8828c4b-bbbd-4927-894f-ae1b42b6d935,2024-10-28,Mistral-Large,mistral-large-2411,PROMPT_00094,What is the chemical formula for table salt?,Long-Context,The chemical formula for table salt is NaCl (sodium chloride).,General,Question-Answering,English,0,None,,,,None,Low-Stakes,human_crowd,0.91,Structured-Prompt,True,Reuters,N/A,
77736bf5-d662-466b-b34e-0b4368989d13,2025-01-24,Mistral-Large,mistral-large-2411,PROMPT_00095,Describe the role of the UN Security Council.,Long-Context,"The UN Security Council is responsible for maintaining international peace and security. It has 15 members: 5 permanent members with veto power (USA, UK, France, Russia, China) and 10 non-permanent members elected for 2-year terms. It can authorize sanctions, peacekeeping missions, and military action. All UN member states are legally bound to comply with Security Council resolutions.",Politics,Open-Generation,English,0,None,,,,None,Low-Stakes,human_expert,0.99,RAG,True,ArXiv,N/A,
1b71b499-66d5-4d46-b219-c58c3636e3f3,2024-10-11,Claude-3.5-Sonnet,claude-3-5-sonnet-20241022,PROMPT_00096,"What element has atomic number 79, and what is it commonly used for?",Multi-Hop,"Element 79 is gold (Au). It is commonly used in jewelry, electronics (due to its excellent conductivity and corrosion resistance), dentistry, and as a financial reserve in the form of bullion.",Science,Multi-Hop,English,0,None,,,,None,Low-Stakes,human_expert,0.85,None,False,SEC-Filing,N/A,
95c7c3f5-529e-434b-86a8-eaaaaf33d0a5,2024-12-30,GPT-4o,gpt-4o-2024-11-20,PROMPT_00097,Which US Supreme Court case established the right to an attorney for criminal defendants who cannot afford one?,Ambiguous,The case was Gideon v. Wainwright (1963). The Supreme Court unanimously ruled that the Sixth Amendment's guarantee of the right to counsel applies to state criminal proceedings through the Fourteenth Amendment.,Law,Multi-Hop,English,0,None,,,,None,High-Stakes,llm_judge_claude,0.88,Structured-Prompt,True,Reuters,N/A,
10b4c423-1ac5-47da-ab79-7490a95628c7,2025-04-25,Llama-3.1-70B,llama-3.1-70b-instruct,PROMPT_00098,Who wrote the Communist Manifesto?,Ambiguous,"The Communist Manifesto was written by Karl Marx and Friedrich Engels, published in 1848.",History,Question-Answering,Hindi,0,None,,,,None,Low-Stakes,llm_judge_gpt4o,0.81,CoT-Prompting,True,Snopes,N/A,
4408295b-0cca-4a68-82ff-d6f5924a51ad,2025-04-21,GPT-4o,gpt-4o-2024-11-20,PROMPT_00099,Explain what quantum computing is.,Ambiguous,"Quantum computing uses quantum mechanical phenomena like superposition and entanglement to process information. Unlike classical computers that use bits (0 or 1), quantum computers use qubits that can exist in superpositions. This allows quantum computers to solve certain problems exponentially faster than classical computers. Quantum computers will completely replace classical computers by 2030.",Technology,Open-Generation,Spanish,1,Overclaim,Quantum computers will completely replace classical computers by 2030,Quantum computers are complementary to classical computers for specific problem classes,Quantum computers are not expected to replace classical computers; they are specialized tools for specific problem classes.,Medium,Low-Stakes,human_expert,0.87,CoT-Prompting,True,Wikipedia,Extrinsic,
f8e3df79-6683-4fb9-8bb5-af6cefd7462d,2025-03-11,Claude-3.5-Sonnet,claude-3-5-sonnet-20241022,PROMPT_00100,"What does a P/E ratio tell you about a stock, and what would a P/E of 50 suggest?",Long-Context,"The Price-to-Earnings (P/E) ratio indicates how much investors are willing to pay per dollar of earnings. A P/E of 50 means investors are paying 50 times the company's annual earnings per share, which typically suggests high growth expectations or potential overvaluation compared to the market average.",Finance,Multi-Hop,Mandarin,0,None,,,,None,Medium-Stakes,human_crowd,0.95,Structured-Prompt,True,PubMed,N/A,
593bb255-25e4-4946-88c3-596f7c3bd7f6,2024-11-09,Llama-3.1-70B,llama-3.1-70b-instruct,PROMPT_00101,What is the difference between Type 1 and Type 2 diabetes in terms of insulin production?,Long-Context,"In Type 1 diabetes, the immune system destroys insulin-producing beta cells in the pancreas, resulting in little to no insulin production. In Type 2 diabetes, the body produces insulin but cells become resistant to it; over time, the pancreas may also reduce insulin production.",Medicine,Multi-Hop,English,0,None,,,,None,High-Stakes,human_crowd,0.93,Self-Consistency,True,PubMed,N/A,
a20723a1-8402-4aa0-b705-e65ab3ec70f2,2025-03-08,Mistral-Large,mistral-large-2411,PROMPT_00102,What is photosynthesis?,Ambiguous,"Photosynthesis is the process by which plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored as glucose, using carbon dioxide and water.",Science,Question-Answering,Arabic,0,None,,,,None,Low-Stakes,human_expert,0.81,Self-Consistency,True,PubMed,N/A,
bfe89f66-1b4f-4c2a-8417-c088b2d0fe86,2025-01-29,Claude-3.5-Sonnet,claude-3-5-sonnet-20241022,PROMPT_00103,Was the first computer a digital computer?,Direct-Factual,"The first general-purpose electronic digital computer was ENIAC, completed in 1945 at the University of Pennsylvania. However, earlier electromechanical computers like Colossus predate it.",Technology,Fact-Verification,Mandarin,1,Incompleteness,"ENIAC, completed in 1945 at the University of Pennsylvania",Z3 by Konrad Zuse (1941) is often cited as first programmable digital computer,"Z3 (1941) by Konrad Zuse is widely considered the first programmable digital computer, predating ENIAC.",Medium,Low-Stakes,llm_judge_claude,0.98,Structured-Prompt,True,Wikipedia,Intrinsic,
f7fd2aa9-4a82-4b3a-81ce-2c3af88c6c72,2025-04-23,Claude-3.5-Sonnet,claude-3-5-sonnet-20241022,PROMPT_00104,Who wrote the play Hamlet?,Ambiguous,"Hamlet was written by William Shakespeare, believed to have been written around 1600-1601.",General,Open-Generation,English,0,None,,,,None,Low-Stakes,human_crowd,0.89,Self-Consistency,True,Human-Expert,N/A,
cc47fa7f-1d11-4c48-88e1-b261469c4580,2024-11-25,GPT-4o,gpt-4o-2024-11-20,PROMPT_00105,Is paracetamol (acetaminophen) safe to take every day long-term?,Ambiguous,"Regular daily use of paracetamol is generally considered safe for adults at recommended doses (up to 4g per day). However, it should be used cautiously by people with liver disease or heavy alcohol use, as it is metabolized by the liver.",Medicine,Dialogue,Arabic,0,None,,,,None,High-Stakes,llm_judge_gpt4o,0.89,Self-Consistency,True,LegalBench,N/A,
f736d477-8585-4f75-b029-0e1588dea9c2,2025-02-17,Llama-3.1-70B,llama-3.1-70b-instruct,PROMPT_00106,What is quantitative easing?,Adversarial,"Quantitative easing (QE) is a monetary policy whereby a central bank purchases government bonds and other financial assets to inject money directly into the economy. It is typically used when standard interest rate tools become ineffective, such as at near-zero rates. QE is guaranteed to cause hyperinflation.",Finance,Open-Generation,Spanish,1,Overclaim,QE is guaranteed to cause hyperinflation,QE's inflationary effects are debated and context-dependent,"QE does not guarantee hyperinflation; its inflationary impact depends on the economic context, speed of implementation, and other factors.",High,High-Stakes,human_expert,0.91,RAG,True,Human-Expert,Extrinsic,
7ac74477-678c-4c9f-a755-8f79ff8bfeb1,2024-09-30,GPT-4o,gpt-4o-2024-11-20,PROMPT_00107,Who invented the telephone?,Adversarial,"The telephone was invented by Nikola Tesla in 1876, who famously demonstrated it at the Centennial Exposition in Philadelphia.",History,Question-Answering,Spanish,1,Entity-Error,Nikola Tesla,Alexander Graham Bell,The telephone was invented by Alexander Graham Bell in 1876.,High,Low-Stakes,human_expert,0.8,RAG,True,Human-Expert,Extrinsic,
febfba57-692a-441d-9843-079b8da491ec,2024-12-02,Llama-3.1-70B,llama-3.1-70b-instruct,PROMPT_00108,What is the boiling point of water at sea level?,Long-Context,Water boils at 100 degrees Celsius (212 degrees Fahrenheit) at sea level under standard atmospheric pressure.,Science,Question-Answering,Hindi,0,None,,,,None,Low-Stakes,human_crowd,0.81,Structured-Prompt,True,Wikipedia,N/A,
7174e9eb-b322-4f06-9170-66bc3d6dd917,2025-04-26,Claude-3.5-Sonnet,claude-3-5-sonnet-20241022,PROMPT_00109,What is the recommended first-line treatment for Type 2 diabetes?,Ambiguous,"The first-line pharmacological treatment for Type 2 diabetes is insulin therapy, which should be initiated at diagnosis.",Medicine,Question-Answering,English,1,Factual-Contradiction,"insulin therapy, which should be initiated at diagnosis",Metformin is the standard first-line drug,"Metformin is the recommended first-line pharmacological treatment for Type 2 diabetes, not insulin.",High,High-Stakes,human_crowd,0.79,CoT-Prompting,True,PubMed,Extrinsic,
88ba7d62-4647-4165-ab9d-d77b1b65c22f,2025-03-24,GPT-4o,gpt-4o-2024-11-20,PROMPT_00110,When was Apple Inc. founded?,Multi-Hop,"Apple Inc. was founded on April 1, 1976, by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Finance,Question-Answering,French,0,None,,,,None,Low-Stakes,llm_judge_claude,0.98,Structured-Prompt,True,Wikipedia,N/A,
c19f5d17-0900-45bb-8c26-ae968b8c57a4,2025-04-04,Mistral-Large,mistral-large-2411,PROMPT_00111,Is it legal to record a phone call without consent in California?,Direct-Factual,"In California, you can legally record a phone call as long as one party to the call (including yourself) consents to the recording.",Law,Fact-Verification,English,1,Factual-Contradiction,one party to the call consents,California requires all-party consent under Penal Code 632,California is an all-party consent state; all parties must consent to recording under Penal Code Section 632.,High,High-Stakes,human_expert,0.83,CoT-Prompting,True,SEC-Filing,Extrinsic,
